1,join0,0.6129199999999999
2,join1,0.63453
3,commit0,0.5544
4,commit1,0.5429299999999999
5,reveal0,1.0529200000000003
6,reveal1,0.60888
7,win,0.9378499999999999
8,join0,0.52168
9,join1,0.50955
10,commit0,0.51996
11,commit1,0.5394500000000001
12,reveal0,0.6113
13,reveal1,0.6250799999999999
14,win,0.7015499999999999
15,join0,0.50889
16,join1,0.5214700000000001
17,commit0,0.5474500000000001
18,commit1,0.62266
19,reveal0,0.5864900000000001
20,reveal1,0.57288
21,win,0.8841899999999999
22,join0,0.5411699999999999
23,join1,0.5256700000000001
24,commit0,0.53653
25,commit1,0.52762
26,reveal0,0.59222
27,reveal1,0.59863
28,win,0.69309
29,join0,0.55235
30,join1,0.50776
31,commit0,0.59896
32,commit1,0.5238799999999999
33,reveal0,0.60373
34,reveal1,0.5825499999999999
35,win,0.6911799999999999
36,join0,0.5325599999999999
37,join1,0.5328299999999999
38,commit0,0.5130100000000001
39,commit1,0.55047
40,reveal0,0.61235
41,reveal1,0.58569
42,win,0.7312
43,join0,0.47909999999999997
44,join1,0.53615
45,commit0,0.52843
46,commit1,0.5244899999999999
47,reveal0,0.66798
48,reveal1,0.61731
49,win,0.7315699999999999
50,join0,0.5283000000000001
51,join1,0.53248
52,commit0,0.53932
53,commit1,0.5150399999999999
54,reveal0,0.57125
55,reveal1,0.60198
56,win,0.72145
57,join0,0.50152
58,join1,0.5177799999999999
59,commit0,0.52015
60,commit1,0.5228700000000001
61,reveal0,0.6123799999999999
62,reveal1,0.57274
63,win,0.7320800000000001
64,join0,0.51561
65,join1,0.51189
66,commit0,0.5094800000000002
67,commit1,0.5224
68,reveal0,0.5479100000000001
69,reveal1,0.57663
70,win,0.76619
